DeviceName Voc(mV) Isc/(mA/cm2) FF(%) PCE(%) Concentration(mM) Annealing_T(°C) Molecular_Weight(u) Hydrogen_Bond_Donor_Count Hydrogen_Bond_Acceptor_Count Rotatable_Bond_Count Rigid_Bond_Count Topological_Polar_Surface_Area Complexity Heavy_Atom_Count Halide_fraction Heteroatom_carbon_ratio Heteroatom_count H_Count C_Count Cl_Count Br_Count I_Count
MEPEAI-10mM-20T-3-113-For 1098.68 11.86 27.99 3.65 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-3-115-For 1093.27 22.16 46.35 11.23 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-3-116-For 1095.8 11.67 30.2 3.86 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-3-118-For 1116.71 16.92 34.91 6.6 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-3-119-For 1114.31 18.15 33.75 6.82 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-3-120-For 1107.31 13.59 31.28 4.71 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-1-121-For 1119.16 12.71 35.88 5.1 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-1-122-For 1088.58 7.99 28.52 2.48 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-1-123-For 1007.89 2.75 18.07 0.5 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-1-124-For 1087.13 5.66 32.24 1.98 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-1-125-For 1033.42 4.1 20.93 0.89 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-1-126-For 1019.43 3.94 19.7 0.79 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-1-127-For 1092.51 8.81 35.42 3.41 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-1-128-For 1090.95 5.37 35.8 2.1 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-2-129-For 1096.36 11.34 36.69 4.56 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-2-130-For 1112.56 13.54 36.93 5.56 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-2-131-For 1087.55 8.16 32.33 2.87 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-2-132-For 1070.43 7.43 30.04 2.39 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-2-134-For 1007.96 2.95 21.11 0.63 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-2-135-For 1051.3 5.92 24.44 1.52 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-2-136-For 1107.31 14.03 36.91 5.73 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-3-137-For 1124.26 13.21 44.88 6.67 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-3-138-For 1110.47 8.13 39.74 3.59 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-3-139-For 1093.0 7.71 34.1 2.87 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-3-142-For 1086.86 6.12 31.84 2.12 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-3-143-For 1092.73 5.75 33.03 2.08 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-100T-3-144-For 1109.93 8.77 37.21 3.62 10 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-1-145-For 1118.53 10.33 37.01 4.28 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-1-146-For 1123.33 14.47 41.56 6.75 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-1-147-For 1131.5 15.45 44.24 7.73 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-1-148-For 1114.43 12.09 37.67 5.07 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-1-149-For 1091.83 7.29 34.58 2.75 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-1-150-For 1114.34 13.01 37.94 5.5 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-1-151-For 1119.08 15.36 38.48 6.61 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-1-152-For 1117.74 17.83 39.63 7.9 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-2-154-For 1094.87 8.38 34.41 3.16 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-2-155-For 1110.21 9.53 38.82 4.11 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-2-156-For 1084.97 8.6 30.84 2.88 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-2-157-For 1119.35 13.55 40.49 6.14 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-2-158-For 1112.27 11.42 35.79 4.55 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-2-159-For 1112.66 15.88 34.93 6.17 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-2-160-For 1038.76 18.88 42.46 8.33 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-3-161-For 1113.63 15.75 39.68 6.96 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-3-162-For 1116.33 17.31 45.43 8.78 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-3-163-For 1131.83 22.44 56.79 14.42 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-3-164-For 1133.82 21.52 61.53 15.01 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-3-165-For 1125.55 24.42 71.2 19.57 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-3-166-For 1122.32 20.9 46.21 10.84 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-3-167-For 1112.98 16.6 38.13 7.04 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-20T-3-168-For 1006.39 18.04 26.42 4.8 5 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-1-169-For 1096.06 11.78 37.93 4.9 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-1-170-For 1096.1 7.32 37.73 3.03 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-1-171-For 1092.11 7.07 37.26 2.88 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-1-172-For 1085.18 8.24 35.61 3.18 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-1-173-For 1082.96 8.13 37.5 3.3 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-1-174-For 1050.25 11.37 35.21 4.2 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-1-175-For 1078.18 11.04 36.83 4.38 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-1-176-For 1076.87 11.2 38.45 4.64 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-2-177-For 1093.68 8.06 30.04 2.65 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-2-178-For 1082.46 6.6 28.42 2.03 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-2-179-For 1085.49 6.54 29.7 2.11 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-2-180-For 1108.51 13.92 42.23 6.52 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-2-181-For 1053.57 5.83 22.39 1.37 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-2-182-For 1073.36 6.99 26.23 1.97 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-2-183-For 1074.71 7.94 29.65 2.53 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-2-184-For 1088.19 14.27 36.6 5.68 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-3-185-For 1066.44 0.41 26.32 0.11 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-3-186-For 1086.17 0.54 24.76 0.14 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-3-187-For 1093.87 0.37 25.93 0.1 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-3-188-For 1105.64 0.42 23.32 0.11 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-3-190-For 1085.71 0.4 24.67 0.11 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-5mM-100T-3-191-For 1103.63 0.37 22.24 0.09 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
